Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,
small_simple,SEIRS,0.1,0.1,0.6,0.2,0.199585254,0.011381174,0.139558651,0.055321715,0.462517913,0.420000699,0.475321943,0.373542095,
small_simple,SEIRS,0.1,0.1,0.6,0.3,0.221091442,0.013293839,0.172949542,0.041791976,0.319750497,0.370120069,0.329462174,0.18289657,
small_simple,SEIRS,0.1,0.1,0.6,0.4,0.250728826,0.015486262,0.209232542,0.032913446,0.165799557,0.283474386,0.164712418,0.076979395,
small_simple,SEIRS,0.1,0.1,0.6,0.5,0.277787744,0.017393649,0.241840186,0.025639453,0.347269741,0.316359207,0.335271362,0.135316311,
small_simple,SEIRS,0.1,0.1,0.6,0.6,0.251294951,0.016595066,0.224358819,0.017500872,0.230533605,0.287326653,0.227687719,0.06431289,
small_simple,SEIRS,0.1,0.1,0.6,0.7,0.238016481,0.016695382,0.216882577,0.011327695,0.152860271,0.306412111,0.140653435,0.110078793,
small_simple,SEIRS,0.1,0.1,0.6,0.8,0.249376396,0.017117937,0.23188658,0.007911482,0.344654073,0.353703181,0.332975624,0.079289541,
small_simple,SEIRS,0.1,0.1,0.6,0.9,0.237299681,0.016195993,0.223517055,0.005431599,0.194919456,0.313695252,0.181631544,0.027298688,
small_simple,SEIRS,0.1,0.1,0.6,1,0.288435878,0.019375373,0.273773265,0.003587909,0.077357281,0.262324515,0.062589805,nan,
small_simple,SEIRS,0.1,0.1,0.7,0.1,0.12018737,0.004367206,0.064681627,0.056550848,0.657948119,0.706357757,0.638499914,0.656842851,
small_simple,SEIRS,0.1,0.1,0.7,0.2,0.144883258,0.006111569,0.103855699,0.04108913,0.494926111,0.569558733,0.477605933,0.491323839,
small_simple,SEIRS,0.1,0.1,0.7,0.3,0.254130898,0.010706694,0.200934931,0.049461747,-0.020344628,0.382650403,-0.018010384,-0.062549804,
small_simple,SEIRS,0.1,0.1,0.7,0.4,0.24608834,0.010913106,0.209502939,0.032814439,0.335577072,0.383298368,0.328360088,0.199057273,
small_simple,SEIRS,0.1,0.1,0.7,0.5,0.245928731,0.011330553,0.217695641,0.023983058,0.270638355,0.392828509,0.259864813,0.099296608,
small_simple,SEIRS,0.1,0.1,0.7,0.6,0.227404764,0.010863942,0.207707663,0.015978642,0.274697849,0.405806917,0.258183742,0.144026302,
small_simple,SEIRS,0.1,0.1,0.7,0.7,0.253463052,0.012681425,0.235989226,0.012110049,0.262777558,0.34563655,0.253695642,0.08445771,
small_simple,SEIRS,0.1,0.1,0.7,0.8,0.280352709,0.013372279,0.265328368,0.009043628,0.17098494,0.309744483,0.162248765,0.038008766,
small_simple,SEIRS,0.1,0.1,0.7,0.9,0.248949944,0.012309099,0.239138435,0.005422605,0.207708171,0.309588408,0.20184323,0.06743537,
small_simple,SEIRS,0.1,0.1,0.7,1,0.246181363,0.011965382,0.239351526,0.003621691,0.163579861,0.318496554,0.151862337,nan,
small_simple,SEIRS,0.1,0.1,0.8,0.1,0.165862143,0.003956402,0.089561617,0.078403677,0.546168781,0.709968794,0.537672297,0.530510772,
small_simple,SEIRS,0.1,0.1,0.8,0.2,0.246958009,0.006832327,0.177271165,0.070227199,0.302562799,0.469213528,0.304352459,0.224013129,
small_simple,SEIRS,0.1,0.1,0.8,0.3,0.225062992,0.00713593,0.182190087,0.043074052,0.172137768,0.413209387,0.164573477,0.142833247,
small_simple,SEIRS,0.1,0.1,0.8,0.4,0.261474678,0.007570595,0.226534735,0.034732953,0.290342869,0.456164349,0.290562564,0.122999938,
small_simple,SEIRS,0.1,0.1,0.8,0.5,0.236257239,0.007715914,0.212909176,0.023027406,0.361159558,0.439820667,0.353107863,0.215825049,
small_simple,SEIRS,0.1,0.1,0.8,0.6,0.245533796,0.008005292,0.22780942,0.017392141,0.226186022,0.386290475,0.218764515,0.119819903,
small_simple,SEIRS,0.1,0.1,0.8,0.7,0.258291429,0.008552021,0.244595905,0.012414869,0.107050588,0.403552333,0.094373724,0.061046222,
small_simple,SEIRS,0.1,0.1,0.8,0.8,0.225861652,0.007433819,0.218106707,0.007869465,0.193728806,0.433954022,0.191470197,0.047185867,
small_simple,SEIRS,0.1,0.1,0.8,0.9,0.271478291,0.008949343,0.264800266,0.005893216,0.131802571,0.384334645,0.127862037,-0.014640019,
small_simple,SEIRS,0.1,0.1,0.8,1,0.254905639,0.008418853,0.251960705,0.003646483,0.204028198,0.391505766,0.196044273,nan,
small_simple,SEIRS,0.1,0.1,0.9,0.1,0.030962401,0.002933773,0.015918989,0.016965275,0.927692023,0.817328905,0.929876167,0.918577653,
small_simple,SEIRS,0.1,0.1,0.9,0.2,0.221252899,0.004497293,0.157397614,0.066295375,0.122033987,0.58987634,0.114034231,0.120737788,
small_simple,SEIRS,0.1,0.1,0.9,0.3,0.175064135,0.003943683,0.144571178,0.033512381,0.500519053,0.680009696,0.49728308,0.43749311,
small_simple,SEIRS,0.1,0.1,0.9,0.4,0.252618336,0.005201882,0.220646157,0.034622595,0.183406848,0.519705458,0.159888981,0.177139934,
small_simple,SEIRS,0.1,0.1,0.9,0.5,0.246680281,0.005067947,0.225699586,0.023824885,0.279900894,0.546245801,0.276531565,0.126716794,
small_simple,SEIRS,0.1,0.1,0.9,0.6,0.252469096,0.005269992,0.236986092,0.018039078,0.311948968,0.536470675,0.311064797,0.07693751,
small_simple,SEIRS,0.1,0.1,0.9,0.7,0.249088207,0.005362032,0.239095838,0.012646111,0.247705383,0.519879641,0.248031775,0.033793557,
small_simple,SEIRS,0.1,0.1,0.9,0.8,0.264783283,0.00537644,0.259303759,0.008557058,0.338752532,0.53057976,0.336019265,0.063019262,
small_simple,SEIRS,0.1,0.1,0.9,0.9,0.250034829,0.005442643,0.247602972,0.005481463,0.228034013,0.521959866,0.222048987,0.042927403,
small_simple,SEIRS,0.1,0.1,0.9,1,0.288205886,0.005929354,0.287807724,0.003665519,-0.010239975,0.469142608,-0.017396392,nan,
small_simple,SEIRS,0.1,0.1,1,0.1,0.090983031,0.002846459,0.051771268,0.042622477,0.770062905,0.81693352,0.759815435,0.761785435,
small_simple,SEIRS,0.1,0.1,1,0.2,0.162465713,0.003157627,0.119657986,0.047234153,0.526406394,0.795206337,0.533465688,0.464939919,
small_simple,SEIRS,0.1,0.1,1,0.3,0.215124208,0.003314536,0.176476488,0.043561216,0.206557979,0.784099329,0.20781591,0.108192471,
small_simple,SEIRS,0.1,0.1,1,0.4,0.228291131,0.003407943,0.200697895,0.032706167,0.270171571,0.777477832,0.271917498,0.142286678,
small_simple,SEIRS,0.1,0.1,1,0.5,0.251187334,0.003469463,0.231544928,0.02447747,0.134003844,0.773130549,0.116532072,0.109639824,
small_simple,SEIRS,0.1,0.1,1,0.6,0.246622287,0.003512659,0.234622419,0.017562366,0.396960166,0.770101623,0.393104934,0.164371926,
