Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,,,,
small_simple,SIRS,0.1,0.9,0,0.3,0.005826839,7.695116778,0.003229654,0.004150403,0.937696657,nan,0.923749966,0.913797257,,,,
small_simple,SIRS,0.1,0.9,0,0.4,0.004713197,7.695116778,0.003203159,0.003263176,0.948759622,nan,0.924822292,0.897155428,,,,
small_simple,SIRS,0.1,0.9,0,0.5,0.006265989,7.695116778,0.003425519,0.003900048,0.875505219,nan,0.912792811,0.822657394,,,,
small_simple,SIRS,0.1,0.9,0,0.6,0.005254787,7.695116778,0.002902853,0.003061776,0.90955048,nan,0.938602616,0.885703604,,,,
small_simple,SIRS,0.1,0.9,0,0.7,0.006027863,7.695116778,0.002830971,0.003629649,0.852823306,nan,0.941398359,0.749440205,,,,
small_simple,SIRS,0.1,0.9,0,0.8,0.005681169,7.695116778,0.002867995,0.003145376,0.864134892,nan,0.939626423,0.828572331,,,,
small_simple,SIRS,0.1,0.9,0,0.9,0.005820916,7.695116778,0.002264395,0.003591797,0.845787957,nan,0.963424439,0.881606626,,,,
small_simple,SIRS,0.1,0.9,0,1,0.006864799,7.695116778,0.003174359,0.00375247,0.755412698,nan,0.924704721,nan,,,,
small_simple,SIRS,0.1,1,0,0.1,0.003722628,7.695116778,0.00344289,0.003794127,0.99357438,nan,0.907827328,0.97661179,,,,
small_simple,SIRS,0.1,1,0,0.2,0.004573609,7.695116778,0.003421403,0.00402448,0.975512891,nan,0.908822564,0.93922049,,,,
small_simple,SIRS,0.1,1,0,0.3,0.005314278,7.695116778,0.003394791,0.004116191,0.946631608,nan,0.910050889,0.897588726,,,,
small_simple,SIRS,0.1,1,0,0.4,0.005339216,7.695116778,0.003362403,0.004066373,0.923929027,nan,0.911539178,0.836035684,,,,
small_simple,SIRS,0.1,1,0,0.5,0.005389917,7.695116778,0.003324812,0.003168808,0.912263509,nan,0.913257526,0.9098312,,,,
small_simple,SIRS,0.1,1,0,0.6,0.004943123,7.695116778,0.003306298,0.002894155,0.916114352,nan,0.914101193,0.868309995,,,,
small_simple,SIRS,0.1,1,0,0.7,0.007140671,7.695116778,0.003291536,0.004241354,0.762909932,nan,0.914772747,0.76461517,,,,
small_simple,SIRS,0.1,1,0,0.8,0.006046066,7.695116778,0.003274175,0.00332808,0.831500027,nan,0.915560285,0.754987513,,,,
small_simple,SIRS,0.1,1,0,0.9,0.006525448,7.695116778,0.003253934,0.003510902,0.783052963,nan,0.916475327,0.790541963,,,,
small_simple,SIRS,0.1,1,0,1,0.007012096,7.695116778,0.003246043,0.003862617,0.728249043,nan,0.916831157,nan,,,,
small_simple,SIRS,0.2,0.1,0,0.1,0.405075896,7.695116778,0.201438199,0.204865828,0.148615684,nan,0.303018584,0.053525579,,,,
small_simple,SIRS,0.2,0.1,0,0.2,0.298653586,7.695116778,0.192336413,0.109401251,-0.021183223,nan,0.318180628,0.034694761,,,,
small_simple,SIRS,0.2,0.1,0,0.3,0.462176857,7.695116778,0.345564175,0.117115362,-0.183273899,nan,-0.192880018,-0.065115047,,,,
small_simple,SIRS,0.2,0.1,0,0.4,0.475305949,7.695116778,0.379643365,0.096085066,-0.267555586,nan,-0.319483286,-0.133436395,,,,
small_simple,SIRS,0.2,0.1,0,0.5,0.236825995,7.695116778,0.180739319,0.059377209,-0.129287087,nan,-0.16396901,0.048112331,,,,
