Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R
large_complex,SEIR,0.1,1,0.9,0,0.023342606,0.001687499,0.001859422,0.02341128,nan,0.916775871,0.932044812,0.955512607
large_complex,SEIR,0.1,1,1,0,0.023343231,0.001765538,0.002160761,0.02342095,nan,0.903719598,0.913186825,0.952033239
large_complex,SEIR,0.2,0.1,0.1,0,0.113314536,0.015018015,0.772791415,0.659771799,0.983709547,0.816372938,-0.96383515,-0.13247703
large_complex,SEIR,0.2,0.1,0.2,0,0.112847446,0.009018397,0.773353114,0.661032174,0.982254828,0.79552241,-0.965666779,-0.088571877
large_complex,SEIR,0.2,0.1,0.3,0,0.113084228,0.006569775,0.773470063,0.661409241,0.969349532,0.805744923,-0.962532087,-0.003004398
large_complex,SEIR,0.2,0.1,0.4,0,0.113205783,0.005479284,0.773597385,0.66157264,0.962349453,0.787931617,-0.96122248,-0.04971108
large_complex,SEIR,0.2,0.1,0.5,0,0.113141984,0.004738505,0.773681219,0.661705826,0.961944517,0.772375155,-0.952135879,-0.049280044
large_complex,SEIR,0.2,0.1,0.6,0,0.113383284,0.004150553,0.773140747,0.661340292,0.945882749,0.775789007,-0.941227759,-0.058325785
large_complex,SEIR,0.2,0.1,0.7,0,0.113327058,0.003708245,0.773113704,0.661244039,0.951411342,0.785983261,-0.942779151,-0.037579661
large_complex,SEIR,0.2,0.1,0.8,0,0.113387326,0.003518506,0.772954709,0.66124635,0.940355878,0.770857487,-0.935693859,-0.043496994
large_complex,SEIR,0.2,0.1,0.9,0,0.11332117,0.003305401,0.773776244,0.662005042,0.945552327,0.772606363,-0.93703183,-0.035123112
large_complex,SEIR,0.2,0.1,1,0,0.113257713,0.003265917,0.77434223,0.662544693,0.947583976,0.753009431,-0.931544423,-0.04533087
large_complex,SEIR,0.2,0.2,0.1,0,0.341536925,0.009625535,0.546283914,0.207148265,0.914122274,0.864800659,-0.722218462,0.423188135
large_complex,SEIR,0.2,0.2,0.2,0,0.341915056,0.006034807,0.548075831,0.208389206,0.850578996,0.866546886,-0.665353255,0.46375448
large_complex,SEIR,0.2,0.2,0.3,0,0.341689381,0.004703439,0.547911678,0.208581598,0.797804744,0.851029117,-0.602420576,0.464041711
large_complex,SEIR,0.2,0.2,0.4,0,0.341962149,0.004058202,0.546065152,0.206583837,0.789843398,0.84316298,-0.572846073,0.449871455
large_complex,SEIR,0.2,0.2,0.5,0,0.342317063,0.00369807,0.548330588,0.208531705,0.801451795,0.824786249,-0.567584118,0.44860801
large_complex,SEIR,0.2,0.2,0.6,0,0.342070246,0.003080677,0.548901029,0.209598338,0.768610634,0.852153234,-0.54312219,0.446591826
large_complex,SEIR,0.2,0.2,0.7,0,0.341864754,0.003000645,0.545884528,0.206836467,0.745643314,0.833742481,-0.519285331,0.452033346
