Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,,,
large_complex,SEIRS,0.1,0.1,0.8,0.2,0.888611828,0.003375692,0.764094874,0.126362591,-0.87076076,0.806975381,-0.855450608,-0.296598108,,,
large_complex,SEIRS,0.1,0.1,0.8,0.3,0.862373744,0.003564015,0.764287472,0.099843299,-0.855628957,0.782558609,-0.84132656,-0.438982745,,,
large_complex,SEIRS,0.1,0.1,0.8,0.4,0.84132559,0.003632706,0.765268051,0.077781533,-0.835752982,0.775800319,-0.824725549,-0.457214168,,,
large_complex,SEIRS,0.1,0.1,0.8,0.5,0.823081503,0.003687518,0.76571864,0.058997454,-0.836972285,0.766255431,-0.824148513,-0.482047255,,,
large_complex,SEIRS,0.1,0.1,0.8,0.6,0.80818231,0.003757986,0.766450293,0.043283673,-0.836741235,0.752927631,-0.832058463,-0.447427153,,,
large_complex,SEIRS,0.1,0.1,0.8,0.7,0.795250295,0.003759358,0.766936389,0.029948283,-0.830224962,0.755576958,-0.826127816,-0.393002825,,,
large_complex,SEIRS,0.1,0.1,0.8,0.8,0.784492208,0.003786248,0.767629083,0.018508132,-0.818566179,0.746007773,-0.816702618,-0.330648723,,,
large_complex,SEIRS,0.1,0.1,0.8,0.9,0.775496428,0.003829157,0.769029321,0.008451158,-0.825365686,0.737739027,-0.824025818,-0.22555604,,,
large_complex,SEIRS,0.1,0.1,0.8,1,0.765951625,0.003793772,0.768323511,0.003646531,-0.823106838,0.741373819,-0.823910777,nan,,,
large_complex,SEIRS,0.1,0.1,0.9,0.1,0.923970913,0.002888318,0.766129755,0.159710988,-0.880730102,0.828896789,-0.878496784,0.023067762,,,
large_complex,SEIRS,0.1,0.1,0.9,0.2,0.889521966,0.003205763,0.764467784,0.126885924,-0.863425413,0.807474058,-0.847005409,-0.325136214,,,
large_complex,SEIRS,0.1,0.1,0.9,0.3,0.862690084,0.003421688,0.765218449,0.09925494,-0.862455601,0.785560817,-0.850335099,-0.44108134,,,
large_complex,SEIRS,0.1,0.1,0.9,0.4,0.840933615,0.003522483,0.765185596,0.077545116,-0.833703423,0.772209301,-0.821053247,-0.433721995,,,
large_complex,SEIRS,0.1,0.1,0.9,0.5,0.822954371,0.003556737,0.765635245,0.059046108,-0.835981408,0.769406948,-0.826235975,-0.476098446,,,
large_complex,SEIRS,0.1,0.1,0.9,0.6,0.808679214,0.0035766,0.766782396,0.04364824,-0.831505903,0.769898599,-0.826235233,-0.429101521,,,
large_complex,SEIRS,0.1,0.1,0.9,0.7,0.795814285,0.003656797,0.767481356,0.030082872,-0.8408447,0.754471775,-0.837095586,-0.408913832,,,
large_complex,SEIRS,0.1,0.1,0.9,0.8,0.784190364,0.003636456,0.767874561,0.018214906,-0.826987278,0.760437896,-0.825298285,-0.330993961,,,
large_complex,SEIRS,0.1,0.1,0.9,0.9,0.775092376,0.003670445,0.76881196,0.008528204,-0.820260826,0.752300467,-0.818666283,-0.213931501,,,
large_complex,SEIRS,0.1,0.1,0.9,1,0.767154503,0.003662854,0.769891326,0.00366563,-0.82084585,0.755180086,-0.819454843,nan,,,
large_complex,SEIRS,0.1,0.1,1,0.1,0.924250879,0.002841567,0.767480263,0.158665722,-0.881027707,0.817477969,-0.876486778,-0.009556573,,,
large_complex,SEIRS,0.1,0.1,1,0.2,0.889676108,0.003153623,0.764541675,0.126944958,-0.868719208,0.795662891,-0.846163932,-0.349387049,,,
large_complex,SEIRS,0.1,0.1,1,0.3,0.862938372,0.003311162,0.764968952,0.099759977,-0.852644326,0.784486492,-0.838299433,-0.443050568,,,
large_complex,SEIRS,0.1,0.1,1,0.4,0.84029089,0.003405098,0.764570923,0.077544019,-0.855933569,0.777803193,-0.844116506,-0.498065953,,,
large_complex,SEIRS,0.1,0.1,1,0.5,0.82446187,0.003467154,0.767394682,0.058923996,-0.837256392,0.773395821,-0.82636929,-0.481394532,,,
large_complex,SEIRS,0.1,0.1,1,0.6,0.808942249,0.003510954,0.767330999,0.043509174,-0.826831835,0.770298054,-0.820272388,-0.402980534,,,
large_complex,SEIRS,0.1,0.1,1,0.7,0.795960676,0.003543011,0.76791088,0.030047046,-0.823582633,0.768061258,-0.818829287,-0.390401787,,,
large_complex,SEIRS,0.1,0.1,1,0.8,0.784430236,0.003567288,0.768085916,0.018498682,-0.817253062,0.766394968,-0.813790492,-0.352630991,,,
large_complex,SEIRS,0.1,0.1,1,0.9,0.774929125,0.003586237,0.768778398,0.008683972,-0.81919851,0.765118502,-0.81774843,-0.257127878,,,
large_complex,SEIRS,0.1,0.1,1,1,0.766414794,0.003601664,0.769393564,0.003682494,-0.826492397,0.764099447,-0.826078207,nan,,,
large_complex,SEIRS,0.1,0.2,0.1,0.1,0.868990236,0.006400356,0.548425871,0.319906986,-0.862272863,0.885889219,-0.686109347,-0.822373969,,,
large_complex,SEIRS,0.1,0.2,0.1,0.2,0.792918766,0.008029369,0.548763424,0.24048085,-0.774359452,0.845461245,-0.690137581,-0.797746631,,,
large_complex,SEIRS,0.1,0.2,0.1,0.3,0.738832617,0.00890541,0.550051855,0.182953605,-0.744327861,0.851382693,-0.699655164,-0.764768785,,,
large_complex,SEIRS,0.1,0.2,0.1,0.4,0.697192747,0.010517545,0.550713649,0.138828649,-0.727719867,0.817868836,-0.702680712,-0.716436439,,,
large_complex,SEIRS,0.1,0.2,0.1,0.5,0.664817589,0.011990383,0.551338457,0.104108651,-0.730340304,0.787537853,-0.715108473,-0.699858738,,,
large_complex,SEIRS,0.1,0.2,0.1,0.6,0.636930204,0.012644012,0.551162364,0.075552712,-0.72155747,0.785995154,-0.714449696,-0.666203956,,,
large_complex,SEIRS,0.1,0.2,0.1,0.7,0.617596451,0.013898242,0.554099234,0.052078342,-0.711343096,0.739043677,-0.714551185,-0.61015281,,,
large_complex,SEIRS,0.1,0.2,0.1,0.8,0.596725484,0.014457953,0.55244619,0.032252325,-0.709022287,0.734304137,-0.715062269,-0.532230718,,,
large_complex,SEIRS,0.1,0.2,0.1,0.9,0.580975172,0.015304004,0.552883418,0.015282337,-0.70640641,0.702248332,-0.716356747,-0.422542997,,,
large_complex,SEIRS,0.1,0.2,0.1,1,0.566470593,0.016028614,0.552465733,0.001906338,-0.693238991,0.675905072,-0.705232958,nan,,,
large_complex,SEIRS,0.1,0.2,0.2,0.1,0.868346007,0.004335533,0.547735474,0.320142573,-0.79487239,0.882139256,-0.611368149,-0.784248372,,,
large_complex,SEIRS,0.1,0.2,0.2,0.2,0.794545211,0.005527685,0.551099613,0.240839043,-0.67610484,0.835006229,-0.616504597,-0.702754181,,,
large_complex,SEIRS,0.1,0.2,0.2,0.3,0.737918507,0.006655939,0.550507053,0.182901703,-0.654838629,0.832767855,-0.636107283,-0.680913944,,,
large_complex,SEIRS,0.1,0.2,0.2,0.4,0.698074842,0.007721581,0.553137108,0.139140122,-0.628484168,0.800860911,-0.63456047,-0.652265946,,,
large_complex,SEIRS,0.1,0.2,0.2,0.5,0.664782286,0.008855397,0.553558469,0.104312713,-0.623409034,0.748647877,-0.644280558,-0.615686253,,,
large_complex,SEIRS,0.1,0.2,0.2,0.6,0.637785398,0.009663422,0.554289832,0.075779496,-0.605804124,0.71333303,-0.634731235,-0.586905019,,,
large_complex,SEIRS,0.1,0.2,0.2,0.7,0.617275967,0.010243937,0.556308311,0.052327087,-0.610958849,0.748107223,-0.650068179,-0.553015933,,,
large_complex,SEIRS,0.1,0.2,0.2,0.8,0.597675449,0.010825803,0.556109659,0.03255635,-0.582143944,0.687913877,-0.624317606,-0.492226394,,,
large_complex,SEIRS,0.1,0.2,0.2,0.9,0.581287779,0.01138683,0.556185985,0.015396928,-0.588412702,0.7166376,-0.637347527,-0.385911523,,,
large_complex,SEIRS,0.1,0.2,0.2,1,0.567429538,0.012270663,0.556566276,0.00219892,-0.568362521,0.621738216,-0.616103179,nan,,,
large_complex,SEIRS,0.1,0.2,0.3,0.1,0.870711366,0.00319636,0.549796289,0.320852127,-0.778829505,0.903700233,-0.568928603,-0.744939899,,,
large_complex,SEIRS,0.1,0.2,0.3,0.2,0.794961185,0.004114503,0.552394574,0.2406644,-0.645663842,0.86915285,-0.575325933,-0.681846213,,,
large_complex,SEIRS,0.1,0.2,0.3,0.3,0.738745755,0.00524521,0.551691553,0.183835639,-0.603479719,0.812606108,-0.580319402,-0.6422332,,,
large_complex,SEIRS,0.1,0.2,0.3,0.4,0.699080291,0.006074462,0.55524458,0.139482965,-0.596609151,0.799973942,-0.599749003,-0.628937671,,,
large_complex,SEIRS,0.1,0.2,0.3,0.5,0.665277307,0.006760841,0.554921202,0.10521766,-0.582182946,0.784806627,-0.602393506,-0.584000979,,,
large_complex,SEIRS,0.1,0.2,0.3,0.6,0.638469783,0.007352689,0.556411706,0.076254364,-0.550294797,0.761076099,-0.578775757,-0.540174535,,,
large_complex,SEIRS,0.1,0.2,0.3,0.7,0.615333622,0.007795875,0.5567069,0.052352722,-0.540425122,0.749791774,-0.579642547,-0.492947403,,,
large_complex,SEIRS,0.1,0.2,0.3,0.8,0.595687218,0.008392762,0.556412472,0.032538553,-0.53651211,0.692138401,-0.576997905,-0.445413226,,,
large_complex,SEIRS,0.1,0.2,0.3,0.9,0.581884631,0.008955897,0.559032023,0.015475808,-0.557319729,0.717593939,-0.606895297,-0.363418092,,,
large_complex,SEIRS,0.1,0.2,0.3,1,0.565994341,0.009366143,0.557846501,0.002351951,-0.546489885,0.648726061,-0.594317386,nan,,,
large_complex,SEIRS,0.1,0.2,0.4,0.1,0.869844568,0.002732993,0.550461072,0.319490019,-0.752209306,0.899303063,-0.53012055,-0.753376156,,,
large_complex,SEIRS,0.1,0.2,0.4,0.2,0.79327847,0.003457668,0.552085917,0.240007726,-0.610035454,0.858427546,-0.534429143,-0.643365902,,,
large_complex,SEIRS,0.1,0.2,0.4,0.3,0.739626571,0.00418961,0.553690066,0.183490454,-0.586705462,0.838752267,-0.559188705,-0.623428095,,,
large_complex,SEIRS,0.1,0.2,0.4,0.4,0.697807223,0.004841462,0.555259113,0.139430261,-0.551217713,0.804261112,-0.547424701,-0.585734154,,,
large_complex,SEIRS,0.1,0.2,0.4,0.5,0.664899831,0.005258276,0.556633256,0.104549816,-0.535035178,0.799375503,-0.549904684,-0.541024876,,,
large_complex,SEIRS,0.1,0.2,0.4,0.6,0.637825421,0.005887705,0.55741963,0.076041709,-0.529158589,0.762938199,-0.554655283,-0.517740195,,,
large_complex,SEIRS,0.1,0.2,0.4,0.7,0.614680556,0.006170247,0.557521847,0.052405517,-0.544270496,0.781117753,-0.580741419,-0.492121716,,,
large_complex,SEIRS,0.1,0.2,0.4,0.8,0.597956253,0.006800172,0.560263637,0.032435742,-0.512167209,0.720741031,-0.549934804,-0.419722968,,,
large_complex,SEIRS,0.1,0.2,0.4,0.9,0.581852981,0.006966452,0.560886094,0.015541587,-0.509600122,0.731391147,-0.553261638,-0.352919157,,,
large_complex,SEIRS,0.1,0.2,0.4,1,0.567327966,0.007204777,0.56114904,0.00244301,-0.525170691,0.718341792,-0.57317077,nan,,,
large_complex,SEIRS,0.1,0.2,0.5,0.1,0.867726412,0.002653057,0.549031691,0.319200026,-0.698420712,0.879073957,-0.4834054,-0.713862416,,,
large_complex,SEIRS,0.1,0.2,0.5,0.2,0.793037024,0.002835594,0.551228758,0.241018135,-0.602663688,0.881602527,-0.521813068,-0.636238371,,,
large_complex,SEIRS,0.1,0.2,0.5,0.3,0.740935437,0.003439886,0.555312548,0.18406426,-0.558930821,0.84451592,-0.524622604,-0.580877543,,,
large_complex,SEIRS,0.1,0.2,0.5,0.4,0.698553363,0.003918671,0.556744985,0.139514961,-0.550120178,0.829130459,-0.544316841,-0.561608001,,,
large_complex,SEIRS,0.1,0.2,0.5,0.5,0.664979553,0.004177236,0.557659037,0.104697236,-0.531481938,0.821765046,-0.541054848,-0.538031782,,,
large_complex,SEIRS,0.1,0.2,0.5,0.6,0.637892019,0.004684181,0.558737267,0.075971212,-0.528850623,0.794678676,-0.548929062,-0.515953124,,,
large_complex,SEIRS,0.1,0.2,0.5,0.7,0.617489136,0.005012644,0.56158651,0.052374439,-0.524541067,0.781216317,-0.552658549,-0.466036023,,,
large_complex,SEIRS,0.1,0.2,0.5,0.8,0.597862172,0.005257438,0.561540792,0.032550998,-0.510155815,0.768579221,-0.545445313,-0.417143711,,,
large_complex,SEIRS,0.1,0.2,0.5,0.9,0.581939243,0.005504293,0.562584317,0.01537338,-0.506531172,0.770224169,-0.54684257,-0.336366639,,,
large_complex,SEIRS,0.1,0.2,0.5,1,0.566642309,0.005790667,0.56197892,0.002500787,-0.500162481,0.719103439,-0.540824736,nan,,,
large_complex,SEIRS,0.1,0.2,0.6,0.1,0.867121373,0.002124597,0.547000533,0.320664379,-0.697499057,0.911359126,-0.478175194,-0.702814242,,,
large_complex,SEIRS,0.1,0.2,0.6,0.2,0.791799984,0.002642206,0.551306765,0.240123019,-0.57012767,0.867803526,-0.487495174,-0.606838366,,,
large_complex,SEIRS,0.1,0.2,0.6,0.3,0.739570628,0.003054729,0.554717118,0.183830542,-0.543024006,0.836065377,-0.506974773,-0.560582343,,,
large_complex,SEIRS,0.1,0.2,0.6,0.4,0.697698551,0.00315462,0.557086568,0.139027445,-0.527512603,0.857162623,-0.518331491,-0.540038428,,,
large_complex,SEIRS,0.1,0.2,0.6,0.5,0.66490439,0.00345491,0.55850562,0.104551915,-0.528264151,0.833227985,-0.530721453,-0.538175317,,,
large_complex,SEIRS,0.1,0.2,0.6,0.6,0.638205656,0.003624969,0.560321315,0.075794606,-0.490366476,0.82857831,-0.504290789,-0.494757232,,,
large_complex,SEIRS,0.1,0.2,0.6,0.7,0.615539568,0.003838216,0.560596123,0.052560765,-0.490692747,0.824747791,-0.517419341,-0.438525389,,,
large_complex,SEIRS,0.1,0.2,0.6,0.8,0.596139502,0.004289242,0.560901342,0.032594399,-0.486713552,0.774760213,-0.515133776,-0.395348873,,,
large_complex,SEIRS,0.1,0.2,0.6,0.9,0.582021166,0.004311792,0.563805024,0.015518119,-0.500143815,0.792990793,-0.535027344,-0.327747888,,,
large_complex,SEIRS,0.1,0.2,0.6,1,0.564875934,0.004265228,0.561572131,0.002551101,-0.477819832,0.808669611,-0.517198426,nan,,,
large_complex,SEIRS,0.1,0.2,0.7,0.1,0.867533662,0.002285823,0.548680288,0.319575154,-0.699983028,0.879402503,-0.468094207,-0.719534449,,,
large_complex,SEIRS,0.1,0.2,0.7,0.2,0.793228653,0.002386972,0.551594554,0.241614875,-0.573695282,0.873258787,-0.481213234,-0.610620752,,,
large_complex,SEIRS,0.1,0.2,0.7,0.3,0.73978191,0.002614861,0.555460118,0.183757792,-0.543498808,0.85622369,-0.499982009,-0.567119939,,,
large_complex,SEIRS,0.1,0.2,0.7,0.4,0.698455913,0.002754486,0.557229873,0.140322174,-0.53619475,0.851391483,-0.517560083,-0.560296452,,,
large_complex,SEIRS,0.1,0.2,0.7,0.5,0.665652805,0.002788321,0.559298408,0.105175032,-0.509689396,0.863301848,-0.51368742,-0.496879815,,,
large_complex,SEIRS,0.1,0.2,0.7,0.6,0.637649862,0.003056726,0.559946551,0.076254595,-0.498665822,0.8404791,-0.510344944,-0.491148926,,,
large_complex,SEIRS,0.1,0.2,0.7,0.7,0.618346795,0.003108289,0.564410394,0.052439079,-0.506692541,0.84070606,-0.526667421,-0.455424444,,,
large_complex,SEIRS,0.1,0.2,0.7,0.8,0.597615822,0.003316288,0.563226051,0.032687633,-0.478644226,0.824460496,-0.503903729,-0.407066532,,,
large_complex,SEIRS,0.1,0.2,0.7,0.9,0.579865343,0.003488034,0.562705177,0.015521162,-0.487615188,0.8012612,-0.517080823,-0.316118034,,,
large_complex,SEIRS,0.1,0.2,0.7,1,0.567049336,0.00347136,0.56469692,0.002586979,-0.475964315,0.817584457,-0.510154862,nan,,,
large_complex,SEIRS,0.1,0.2,0.8,0.1,0.869008704,0.002132461,0.549460233,0.320389862,-0.709749475,0.885105587,-0.471102508,-0.731141786,,,
