Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,
large_complex,SIRS,0.1,0.8,0,0.2,0.002287151,0.855012975,0.001294143,0.001841455,0.978273927,nan,0.955271633,0.95769634,
large_complex,SIRS,0.1,0.8,0,0.3,0.002271597,0.855012975,0.001363978,0.001667311,0.967320716,nan,0.949964466,0.937972083,
large_complex,SIRS,0.1,0.8,0,0.4,0.002456474,0.855012975,0.001546025,0.001534524,0.951713224,nan,0.934506464,0.927573825,
large_complex,SIRS,0.1,0.8,0,0.5,0.002502052,0.855012975,0.001450773,0.001530586,0.935732606,nan,0.94323741,0.893951697,
large_complex,SIRS,0.1,0.8,0,0.6,0.002521908,0.855012975,0.001256125,0.001521282,0.925617061,nan,0.958847,0.889555656,
large_complex,SIRS,0.1,0.8,0,0.7,0.002899063,0.855012975,0.001351006,0.001681015,0.881226809,nan,0.951605009,0.830146284,
large_complex,SIRS,0.1,0.8,0,0.8,0.00319805,0.855012975,0.001638601,0.001696781,0.836080549,nan,0.926441459,0.782520101,
large_complex,SIRS,0.1,0.8,0,0.9,0.00323303,0.855012975,0.001478884,0.001794615,0.818709696,nan,0.941079562,0.770432992,
large_complex,SIRS,0.1,0.8,0,1,0.003229962,0.855012975,0.001419618,0.00181941,0.807284185,nan,0.945781983,nan,
large_complex,SIRS,0.1,0.9,0,0.1,0.001835543,0.855012975,0.00163694,0.001931885,0.993816516,nan,0.920502767,0.976294944,
large_complex,SIRS,0.1,0.9,0,0.2,0.002448268,0.855012975,0.001548583,0.001933971,0.977463918,nan,0.929587773,0.957980688,
large_complex,SIRS,0.1,0.9,0,0.3,0.002128184,0.855012975,0.001524366,0.001663601,0.970611411,nan,0.932148531,0.931764386,
large_complex,SIRS,0.1,0.9,0,0.4,0.002462463,0.855012975,0.001582069,0.00151146,0.949167835,nan,0.926680145,0.935077637,
large_complex,SIRS,0.1,0.9,0,0.5,0.002457834,0.855012975,0.001438139,0.001592331,0.93329796,nan,0.940468417,0.879811301,
large_complex,SIRS,0.1,0.9,0,0.6,0.002999181,0.855012975,0.001686254,0.001673956,0.876875065,nan,0.916145441,0.863384039,
large_complex,SIRS,0.1,0.9,0,0.7,0.002927151,0.855012975,0.001483515,0.001625731,0.870248743,nan,0.936326159,0.880000901,
large_complex,SIRS,0.1,0.9,0,0.8,0.00307345,0.855012975,0.001625724,0.001606518,0.838902628,nan,0.92228858,0.852102624,
large_complex,SIRS,0.1,0.9,0,0.9,0.003230357,0.855012975,0.001493309,0.001800824,0.802435541,nan,0.935007,0.748084213,
large_complex,SIRS,0.1,0.9,0,1,0.003441254,0.855012975,0.001624132,0.001858777,0.755434124,nan,0.921871433,nan,
large_complex,SIRS,0.1,1,0,0.1,0.001758591,0.855012975,0.001723585,0.00184641,0.996175059,nan,0.907628784,0.978918486,
large_complex,SIRS,0.1,1,0,0.2,0.002081545,0.855012975,0.001728744,0.001821079,0.983982486,nan,0.907149938,0.952497188,
large_complex,SIRS,0.1,1,0,0.3,0.002369604,0.855012975,0.001732686,0.001822119,0.962153468,nan,0.906783739,0.919180422,
large_complex,SIRS,0.1,1,0,0.4,0.002572093,0.855012975,0.001734625,0.001804697,0.936432829,nan,0.906603588,0.881358413,
large_complex,SIRS,0.1,1,0,0.5,0.00279953,0.855012975,0.001733627,0.001783202,0.903623569,nan,0.906696686,0.846615335,
large_complex,SIRS,0.1,1,0,0.6,0.00265352,0.855012975,0.001728801,0.001572911,0.902176118,nan,0.907145555,0.839085151,
large_complex,SIRS,0.1,1,0,0.7,0.003073167,0.855012975,0.001719509,0.001678,0.84157438,nan,0.908007594,0.833399617,
large_complex,SIRS,0.1,1,0,0.8,0.00304407,0.855012975,0.001705525,0.001580026,0.830364954,nan,0.909300608,0.839800061,
large_complex,SIRS,0.1,1,0,0.9,0.00343782,0.855012975,0.001691463,0.001873144,0.753956857,nan,0.910596758,0.687244644,
large_complex,SIRS,0.1,1,0,1,0.003522117,0.855012975,0.001686313,0.001900249,0.726681747,nan,0.911071098,nan,
