Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,RSquared_S,RSquared_E,RSquared_I,RSquared_R,Error
large_simple,SIR,0.2,0.3,0.0,0.0,0.18475322615720544,0.8550129752984276,0.005381121301721723,0.18453221588635726,0.8322493697510935,nan,0.9448630683717841,0.9483561441272551,-288435.20854358975,-inf,0.739007504553211,-287.7778370509968,False
large_simple,SIR,0.2,0.4,0.0,0.0,0.1358420852678971,0.8550129752984276,0.004315745416342742,0.13570338581402103,0.7765692120831372,nan,0.9436542313409603,0.9459678857788043,-1682881.5038428286,-inf,0.7809008617287574,-211.18364003833364,False
large_simple,SIR,0.2,0.5,0.0,0.0,0.10173858165017695,0.8550129752984276,0.003546507529743244,0.1016530369569297,0.7269810529653582,nan,0.9498588831405641,0.9502267746317513,-589800.8328087338,-inf,0.8307065820047779,-134.45481031085464,False
large_simple,SIR,0.2,0.6,0.0,0.0,0.08559630140160342,0.8550129752984276,0.0034315742462835918,0.08553747327453694,0.7769017823734458,nan,0.9422239513943015,0.9432548256829226,-6679818.718782853,-inf,0.8214131636593645,-109.13631187458543,False
large_simple,SIR,0.2,0.7,0.0,0.0,0.06708179448412821,0.8550129752984276,0.0030502480992879027,0.06705029264247629,0.819281502385296,nan,0.9474510127534622,0.9470524492961659,-256414.39935846612,-inf,0.8512170150545838,-68.67384652833127,False
large_simple,SIR,0.2,0.8,0.0,0.0,0.06132671439571031,0.8550129752984276,0.003293303867565785,0.06131899719576996,0.8500149520552958,nan,0.9304990214474134,0.9309856890239299,-3428893.622385534,-inf,0.8131308536958679,-63.23603564033492,False
large_simple,SIR,0.2,0.9,0.0,0.0,0.055089758616220036,0.8550129752984276,0.003532970334598119,0.055110181737112685,nan,nan,0.9118630080854687,0.9124980680331644,-inf,-inf,0.7775403308302085,-53.12962169084512,False
large_simple,SIR,0.2,1.0,0.0,0.0,0.049050413423128915,0.8550129752984276,0.0037648670755452873,0.04910453919160259,nan,nan,0.8925894892676632,0.8931207845349174,-inf,-inf,0.7447363344297857,-42.42431600395389,False
large_simple,SIR,0.3,0.1,0.0,0.0,0.5215047728054277,0.8550129752984276,0.020905053000032914,0.5197105307793566,0.9931226826443953,nan,0.9262476451647602,0.9872783565868666,-12021.046497668896,-inf,-0.12638106200720456,-455.175736722784,False
large_simple,SIR,0.3,0.2,0.0,0.0,0.41225856911151804,0.8550129752984276,0.009715118573638585,0.4116179332776504,0.8877663913194458,nan,0.9256997066763606,0.9592845688802016,-66781.86292917158,-inf,0.528937646744172,-690.9416257751649,False
