Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,RSquared_S,RSquared_E,RSquared_I,RSquared_R,Error
large_simple,SEIR,0.1,0.9,0.2,0.0,0.026078500432901226,0.0007918883672199141,0.002970248989006225,0.026177731198502956,nan,nan,0.9343352667734789,0.9108036608497505,-inf,-inf,0.8427471834356414,-11.21452906381622,False
large_simple,SEIR,0.1,0.9,0.3,0.0,0.026080368313867695,0.0006155399665658778,0.002994800740315852,0.026191964045473436,nan,nan,0.9332016401677563,0.913381149704722,-inf,-inf,0.8399442298969276,-11.242542025085346,False
large_simple,SEIR,0.1,0.9,0.4,0.0,0.02460043489697351,0.0004936726614630729,0.002915215429916201,0.024719009487598715,0.8807080152413884,0.7179686795035339,0.9368923152324521,0.9208052216631205,-551746.4218366779,-443.6110006927841,0.8486736175537362,-9.779586073826016,False
large_simple,SEIR,0.1,0.9,0.5,0.0,0.02608217839186099,0.0004386805490985399,0.0029753846012292224,0.026194950651025513,nan,nan,0.9339493811236939,0.9185333057614271,-inf,-inf,0.8420128758117993,-11.245334158470342,False
large_simple,SEIR,0.1,0.9,0.6,0.0,0.026082763536644984,0.00038629318409189706,0.002985785119068159,0.026196434359956854,nan,nan,0.9332611314709461,0.919240210057637,-inf,-inf,0.8408257841170294,-11.252930955890637,False
large_simple,SEIR,0.1,0.9,0.7,0.0,0.026083223878529977,0.0003461485622163197,0.0029607256512347324,0.02619427376524854,nan,nan,0.9342599949998819,0.9216140878422471,-inf,-inf,0.8433844181060751,-11.258895981385553,False
large_simple,SEIR,0.1,0.9,0.8,0.0,0.02460245593680692,0.00030355806412855885,0.002981741692896724,0.0247274960782982,0.889401591675825,0.6421120350237671,0.9332621235393646,0.9220938109488995,-551837.0827804899,-335.04565412135145,0.8410857453244415,-9.82915349709321,False
large_simple,SEIR,0.1,0.9,0.9,0.0,0.026083635883702733,0.00028781734597211435,0.0025962447844452845,0.026155532698830298,nan,nan,0.9503232944439334,0.9405401953789411,-inf,-inf,0.8811760502485316,-11.059792885000652,False
large_simple,SEIR,0.1,0.9,1.0,0.0,0.026083775237796453,0.00026602303948554943,0.002792759910807139,0.026173272785418557,nan,nan,0.9419168792691385,0.9322273813272576,-inf,-inf,0.861455744398516,-11.168509436318804,False
large_simple,SEIR,0.1,1.0,0.1,0.0,0.023338843391329203,0.0010713884508424271,0.0031956173713365,0.02345991228770077,nan,nan,0.9190987759641196,0.8908887721306907,-inf,-inf,0.8160925793779286,-8.911570507092252,False
large_simple,SEIR,0.1,1.0,0.2,0.0,0.02334296868530668,0.0007215863092714116,0.003199909942109862,0.023500349619089488,nan,nan,0.9189057063802154,0.896770268459086,-inf,-inf,0.8155981736097779,-8.945768664281722,False
